candidateId,value
630665b8594e18004af04d3b,Universidad De San Martín De Porres
630665b8594e18004af04d41,Universidad Nacional De San Agustín
630665b8594e18004af04d4b,Unap
630665b8594e18004af04d51,Instituto De Educación Superior Tecnológico Privado Acip
630665b8594e18004af04d5d,Isam
630665b8594e18004af04d63,Idat
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola - Usil
630665b8594e18004af04d79,Instituto Superior Tecnologico La Oroya
630665b8594e18004af04d81,Universidad Peruana Los Andes
630665b8594e18004af04d81,Andres A. Avelino Caceres
630665b8594e18004af04d8b,Universidad Peruana Los Andes
630665b8594e18004af04d91,Instituto Continental
630665b8594e18004af04d98,Sise
630665b8594e18004af04dab,Universidad Cesar Vallejo
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af04dba,Unes- Esforspol
630665b8594e18004af04dc0,Certus
630665b8594e18004af04dc6,Universidad Tecnológica Del Perú
630665b8594e18004af04dd1,Instituto De Educación Superior De Perumaster
630665b8594e18004af04dd7,Netzun
630665b8594e18004af04dd7,Instituto Nacional De Estadística E Informática - Inei
630665b8594e18004af04de5,I.s.t.p Cepea
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af04dee,Ceps. Virgen De Loreto
630665b8594e18004af04df6,Sabio Nacional Antúnez De Mayolo
630665b8594e18004af04e02,Certus
630665b8594e18004af04e02,Certus
630665b8594e18004af04e0b,Utp - Universidad Tecnológica Del Perú
630665b8594e18004af04e0b,Icpna
630665b8594e18004af04e14,Universidad Cesar Vallejo
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af04e1b,San Francisco De Asís
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrión - Undac
630665b8594e18004af04e29,Universidad Privada Telesup
630665b8594e18004af04e33,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04e3e,Universidad Alas Peruanas
630665b8594e18004af04e4a,Universidad Nacional De Tumbes
630665b8594e18004af04e52,Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta
630665b8594e18004af04e59,Universidad San Martin De Porres
630665b8594e18004af04e64,Universidad Nacional De Tumbes
630665b8594e18004af04e6b,Universidad Privada Del Norte
630665b8594e18004af04e71,Sise
630665b8594e18004af04e7a,Iestp Argentina
630665b8594e18004af04e82,Telesup
630665b8594e18004af04e8e,Universidad Tecnológica Del Perú - Utp
630665b8594e18004af04ea0,Idat
630665b8594e18004af04ea0,I.e. Virgen Del Morro Solar
630665b8594e18004af04ea8,Administracion De Empresas
630665b8594e18004af04eae,Sise
630665b8594e18004af04eb5,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04eb5,Británico
630665b8594e18004af04ebd,Certus
630665b8594e18004af04ebd,N°3 Monitor Huascar
630665b8594e18004af04ed2,Universidad Privada Del Norte
630665b8594e18004af04ed2,Eiger
630665b8594e18004af04eda,Universidad Del Pacifico
630665b8594e18004af04ee0,Modern Systems
630665b8594e18004af04ee7,Idat
630665b8594e18004af04eef,Idat
630665b8594e18004af04ef5,Enrique Guzmán Y Valle
630665b8594e18004af04ef5,Cesar Vallejo
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrión
630665b8594e18004af04f03,Certus
630665b8594e18004af04f11,Universidad Alas Peruanas
630665b8594e18004af04f1d,Pedro A. Del Águila Hidalgo
630665b8594e18004af04f24,Cibertec
630665b8594e18004af04f24,Daniel Alcides Carrion
630665b8594e18004af04f2d,Instituto Adex
630665b8594e18004af04f32,Ifb
630665b8594e18004af04f39,Universidad Peruana Los Andes
630665b8594e18004af04f42,Universidad Continental
630665b8594e18004af04f48,Universidad De San Martin De Porres - Usmp
630665b8594e18004af04f57,Universidad De San Martin De Porres
630665b8594e18004af04f57,Icpna
630665b8594e18004af04f57,Edelmira Del Pando
630665b8594e18004af04f60,Mark Twain School
630665b8594e18004af04f67,Universidad Nacional De San Martín
630665b8594e18004af04f67,I.e Francisco Bolognesi 088
630665b8594e18004af04f72,Certus
630665b8594e18004af04f72,Ie República De Colombia
630665b8594e18004af04f7a,Zegel Ipae
630665b8594e18004af04f80,Certus
630665b8594e18004af04f8c,Cibertec
630665b8594e18004af04f94,Instituto Superior Tecnologico Sise
630665b8594e18004af04f9a,Universidad Tecnológica Del Perú
630665b8594e18004af04f9a,Centro Peruano De  Estudios Bancarios - Cepeban
630665b8594e18004af04fa4,Certus
630665b8594e18004af04fa4,Universidad Alas Peruanas
630665b8594e18004af04fb4,Certus
630665b8594e18004af04fbb,Idad
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos
630665b8594e18004af04fcb,Instituto Certus
630665b8594e18004af04fcb,Vasili Sujomlinsky
630665b8594e18004af04fd2,Universidad Privada Del Norte
630665b8594e18004af04fdf,Universidad Tecnológica Del Perú
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm
630665b8594e18004af04fe8,Instituto Columbia
630665b8594e18004af04ff0,Ifb Certus
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos
630665b8594e18004af05008,Universidad Privada Del Norte
630665b8594e18004af05010,Instituto Certus
630665b8594e18004af05019,Iestp Argentina
630665b8594e18004af05020,Universidad Catolica Los Angeles De Chimbote
630665b8594e18004af05027,Certus
630665b8594e18004af0502e,Universidad Tecnológica Del Perú
